"",Totale,Totale,Totale,Incidenza,0 - 4,5 - 14,15 - 64,65 e oltre
Settimana,,,,,,,,
"",Medici,Casi,Assistiti,Totale,Casi Inc,Casi Inc,Casi Inc,Casi Inc
2015-42,821,425,1.065.225,"0,40","75 1,11","60 0,42","228 0,37","62 0,26"
2015-43,928,604,1.204.096,"0,50","112 1,45","82 0,51","330 0,47","80 0,30"
2015-44,956,842,1.245.366,"0,68","156 1,91","108 0,64","469 0,65","109 0,40"
2015-45,974,966,1.264.970,"0,76","183 2,30","140 0,84","528 0,72","115 0,41"
2015-46,987,1.180,1.343.418,"0,88","205 2,57","143 0,84","678 0,90","154 0,45"
2015-47,1.002,1.387,1.358.812,"1,02","221 2,71","183 1,06","829 1,09","154 0,44"
2015-48,1.003,1.580,1.357.498,"1,16","253 3,04","221 1,25","935 1,24","171 0,49"
2015-49,996,1.632,1.352.768,"1,21","253 3,08","242 1,39","941 1,25","196 0,57"
2015-50,1.010,1.978,1.366.123,"1,45","298 3,54","254 1,43","1178 1,55","248 0,72"
2015-51,1.014,2.278,1.369.347,"1,66","326 3,78","364 2,00","1339 1,77","249 0,72"
2015-52,972,2.655,1.258.708,"2,11","400 5,03","483 2,86","1450 1,98","322 1,16"
2015-53,967,2.448,1.309.847,"1,87","394 5,07","393 2,38","1375 1,88","286 0,85"
2016-01,1.029,3.329,1.393.405,"2,39","401 4,80","484 2,72","1970 2,53","474 1,34"
2016-02,1.026,3.831,1.388.267,"2,76","549 6,38","715 3,92","2150 2,79","417 1,19"
2016-03,1.021,4.990,1.379.740,"3,62","925 10,71","1113 6,12","2536 3,33","416 1,19"
2016-04,1.028,6.580,1.391.906,"4,73","1164 13,44","1901 10,40","3046 3,95","469 1,33"
2016-05,1.017,7.545,1.379.302,"5,47","1444 17,17","2319 12,98","3241 4,22","541 1,55"
2016-06,1.029,8.425,1.390.518,"6,06","1504 17,39","2659 14,54","3700 4,81","562 1,60"
2016-07,1.018,8.148,1.381.385,"5,90","1504 17,70","2568 14,26","3466 4,52","610 1,75"
2016-08,1.014,8.448,1.375.255,"6,14","1564 18,44","2700 14,98","3564 4,67","620 1,78"
2016-09,996,7.960,1.352.617,"5,88","1445 17,35","2563 14,55","3414 4,55","538 1,57"
2016-10,990,7.835,1.343.169,"5,83","1435 17,39","2593 14,65","3260 4,39","547 1,61"
2016-11,977,6.639,1.327.280,"5,00","1153 14,16","2054 11,86","2951 4,01","481 1,43"
2016-12,934,5.370,1.269.573,"4,23","885 11,52","1530 9,38","2510 3,57","445 1,37"
2016-13,926,4.007,1.261.639,"3,18","559 7,61","884 5,55","2116 3,01","448 1,38"
2016-14,911,2.844,1.233.931,"2,30","351 4,68","604 3,78","1551 2,28","338 1,06"
2016-15,883,2.127,1.146.638,"1,85","287 4,07","455 3,03","1145 1,70","240 0,94"
2016-16,813,1.254,1.051.381,"1,19","189 2,87","290 2,05","672 1,10","103 0,44"
